date,amount,description
2022-07-06 05:57:10 +0000,5.5,Ajio Shopping ₹5.5
2022-07-06 05:57:27 +0000,2,Car Insurance ₹2.0
2022-07-06 05:58:12 +0000,30.1,Cafe Coffee Day ₹30.1
2022-07-06 05:58:25 +0000,17.33,Cafe Coffee Day ₹17.33
2022-07-06 05:59:00 +0000,5.5,KFC Meal ₹5.5
2022-07-06 05:59:15 +0000,11.78,Reliance Fresh ₹11.78
2022-07-06 05:59:41 +0000,10,Car Insurance ₹10.0
2022-07-06 05:59:44 +0000,1.38,Pizza Hut Bill ₹1.38
2022-07-06 05:59:45 +0000,10,OYO Rooms Booking ₹10.0
2022-07-06 05:59:56 +0000,2.73,Car Insurance ₹2.73
2022-07-06 06:00:04 +0000,1.94,PPF Deposit ₹1.94
2022-07-06 06:00:53 +0000,5,Stock Purchase ₹5.0
2022-07-06 06:01:09 +0000,6,Electricity Bill BSES ₹6.0
2022-07-06 06:07:09 +0000,2.8,Byjus Payment ₹2.8
2022-07-06 08:55:16 +0000,6.6,MedPlus Bill ₹6.6
2022-07-06 14:43:13 +0000,7.6,CultFit Subscription ₹7.6
2022-07-06 17:48:06 +0000,3.12,Charity ₹3.12
2022-07-07 09:52:48 +0000,2.37,Stationery Store ₹2.37
2022-07-07 09:56:52 +0000,6,Air India Flight ₹6.0
2022-07-07 15:06:54 +0000,12.36,OYO Rooms Booking ₹12.36
2022-07-08 05:00:36 +0000,1.98,Hotstar Renewal ₹1.98
2022-07-08 13:02:25 +0000,5,Spotify Payment ₹5.0
2022-07-08 17:16:44 +0000,2.04,McDonalds Bill ₹2.04
2022-07-08 17:16:50 +0000,12,Subway Sandwich ₹12.0
2022-07-09 04:43:12 +0000,5.7,Car Insurance ₹5.7
2022-07-09 06:37:03 +0000,48,Delhi Metro Recharge ₹48.0
2022-07-09 06:37:08 +0000,5,Gym Membership ₹5.0
2022-07-10 05:45:45 +0000,21,Charity ₹21.0
2022-07-10 18:15:13 +0000,20,LIC Premium ₹20.0
2022-07-10 18:38:38 +0000,10,Swiggy Payment ₹10.0
2022-07-11 15:05:15 +0000,13.62,BigBasket Order ₹13.62
2022-07-11 15:05:19 +0000,10,Udemy Course ₹10.0
2022-07-11 15:05:28 +0000,12.76,Coursera Subscription ₹12.76
2022-07-12 18:47:10 +0000,10,YouTube Premium ₹10.0
2022-07-12 19:09:28 +0000,8.2,Mutual Fund SIP ₹8.2
2022-07-12 19:10:28 +0000,150,Flipkart Order ₹150.0
2022-07-13 09:35:23 +0000,2,MedPlus Bill ₹2.0
2022-07-13 14:10:40 +0000,6.6,Subway Sandwich ₹6.6
2022-07-13 17:06:52 +0000,1.8,OYO Rooms Booking ₹1.8
2022-07-14 12:07:03 +0000,7.6,Petrol Pump ₹7.6
