date,category,amount,description
2022-07-06,Shopping,5.5,Ajio Shopping ₹5.5
2022-07-06,Insurance,2.0,Car Insurance ₹2.0
2022-07-06,Food,30.1,Cafe Coffee Day ₹30.1
2022-07-06,Food,17.33,Cafe Coffee Day ₹17.33
2022-07-06,Dining,5.5,KFC Meal ₹5.5
2022-07-06,Groceries,11.78,Reliance Fresh ₹11.78
2022-07-06,Insurance,10.0,Car Insurance ₹10.0
2022-07-06,Food,1.38,Pizza Hut Bill ₹1.38
2022-07-06,Travel,10.0,OYO Rooms Booking ₹10.0
2022-07-06,Insurance,2.73,Car Insurance ₹2.73
2022-07-06,Investment,1.94,PPF Deposit ₹1.94
2022-07-06,Investment,5.0,Stock Purchase ₹5.0
2022-07-06,Bills,6.0,Electricity Bill BSES ₹6.0
2022-07-06,Education,2.8,Byjus Payment ₹2.8
2022-07-06,Healthcare,6.6,MedPlus Bill ₹6.6
2022-07-06,Fitness,7.6,CultFit Subscription ₹7.6
2022-07-06,Miscellaneous,3.12,Charity ₹3.12
2022-07-07,Miscellaneous,2.37,Stationery Store ₹2.37
2022-07-07,Travel,6.0,Air India Flight ₹6.0
2022-07-07,Travel,12.36,OYO Rooms Booking ₹12.36
2022-07-08,Entertainment,1.98,Hotstar Renewal ₹1.98
2022-07-08,Entertainment,5.0,Spotify Payment ₹5.0
2022-07-08,Dining,2.04,McDonalds Bill ₹2.04
2022-07-08,Dining,12.0,Subway Sandwich ₹12.0
2022-07-09,Insurance,5.7,Car Insurance ₹5.7
2022-07-09,Transport,48.0,Delhi Metro Recharge ₹48.0
2022-07-09,Fitness,5.0,Gym Membership ₹5.0
2022-07-10,Miscellaneous,21.0,Charity ₹21.0
2022-07-10,Insurance,20.0,LIC Premium ₹20.0
2022-07-10,Food,10.0,Swiggy Payment ₹10.0
2022-07-11,Groceries,13.62,BigBasket Order ₹13.62
2022-07-11,Education,10.0,Udemy Course ₹10.0
2022-07-11,Education,12.76,Coursera Subscription ₹12.76
2022-07-12,Entertainment,10.0,YouTube Premium ₹10.0
2022-07-12,Investment,8.2,Mutual Fund SIP ₹8.2
2022-07-12,Shopping,150.0,Flipkart Order ₹150.0
2022-07-13,Healthcare,2.0,MedPlus Bill ₹2.0
2022-07-13,Dining,6.6,Subway Sandwich ₹6.6
2022-07-13,Travel,1.8,OYO Rooms Booking ₹1.8
2022-07-14,Miscellaneous,7.6,Petrol Pump ₹7.6
2022-07-15,Travel,6.0,MakeMyTrip Payment ₹6.0
2022-07-15,Miscellaneous,6.6,Charity ₹6.6
2022-07-15,Investment,7.44,Crypto Investment ₹7.44
2022-07-16,Shopping,16.0,Ajio Shopping ₹16.0
2022-07-16,Insurance,2.0,Car Insurance ₹2.0
2022-07-16,Dining,7.6,Subway Sandwich ₹7.6
2022-07-17,Transport,5.0,Cab Fare ₹5.0
2022-07-17,Shopping,7.6,Ajio Shopping ₹7.6
2022-07-17,Dining,7.6,Subway Sandwich ₹7.6
2022-07-17,Shopping,10.0,Ajio Shopping ₹10.0
2022-07-17,Education,4.5,Skillshare Membership ₹4.5
2022-07-18,Transport,15.2,Delhi Metro Recharge ₹15.2
2022-07-19,Healthcare,15.6,Diagnostic Center Payment ₹15.6
2022-07-19,Investment,3.0,Mutual Fund SIP ₹3.0
2022-07-19,Miscellaneous,18.0,Stationery Store ₹18.0
2022-07-19,Groceries,10.0,More Supermarket ₹10.0
2022-07-20,Investment,5.5,Mutual Fund SIP ₹5.5
2022-07-20,Education,4.38,Coursera Subscription ₹4.38
2022-07-20,Bills,10.0,Electricity Bill BSES ₹10.0
2022-07-20,Food,7.6,Pizza Hut Bill ₹7.6
2022-07-20,Education,4.0,Coursera Subscription ₹4.0
2022-07-21,Investment,8.0,Mutual Fund SIP ₹8.0
2022-07-27,Groceries,7.6,DMart Purchase ₹7.6
2022-07-27,Dining,8.0,Barbeque Nation ₹8.0
2022-07-28,Transport,87.0,Train Ticket ₹87.0
2022-07-28,Entertainment,135.5,Hotstar Renewal ₹135.5
2022-07-28,Entertainment,90.0,Hotstar Renewal ₹90.0
2022-07-28,Bills,8.0,Airtel Postpaid ₹8.0
2022-07-28,Bills,675.0,Jio Fiber Recharge ₹675.0
2022-07-28,Groceries,733.25,Reliance Fresh ₹733.25
2022-07-28,Fitness,80.0,Yoga Class ₹80.0
2022-07-28,Fitness,15.0,Protein Supplement ₹15.0
2022-07-28,Shopping,9.0,Myntra Order ₹9.0
2022-07-29,Bills,7.0,Electricity Bill BSES ₹7.0
2022-07-29,Education,7.0,Coursera Subscription ₹7.0
2022-07-29,Healthcare,1.0,MedPlus Bill ₹1.0
2022-07-29,Healthcare,260.0,Apollo Pharmacy ₹260.0
2022-07-30,Travel,7.6,IRCTC Train Ticket ₹7.6
2022-07-30,Dining,28.4,Barbeque Nation ₹28.4
2022-07-30,Shopping,7.5,Flipkart Order ₹7.5
2022-07-31,Dining,3.0,Barbeque Nation ₹3.0
2022-07-31,Healthcare,6.5,Apollo Pharmacy ₹6.5
2022-08-01,Bills,4.0,Electricity Bill BSES ₹4.0
2022-08-01,Shopping,2.0,Amazon Purchase ₹2.0
2022-08-01,Food,5.3,Pizza Hut Bill ₹5.3
2022-08-01,Shopping,5.0,Ajio Shopping ₹5.0
2022-08-01,Shopping,14.0,Flipkart Order ₹14.0
2022-08-02,Food,5.5,Dominos Order ₹5.5
2022-08-02,Shopping,7.2,Myntra Order ₹7.2
2022-08-03,Fitness,1.4,Protein Supplement ₹1.4
2022-08-03,Travel,4.8,Air India Flight ₹4.8
2022-08-03,Bills,68.3,Airtel Postpaid ₹68.3
2022-08-03,Insurance,5.0,LIC Premium ₹5.0
2022-08-03,Transport,7.6,Uber Trip ₹7.6
2022-08-04,Fitness,4.14,CultFit Subscription ₹4.14
